tag,axis,dx_m,dy_m,dz_m,W_J,msh_nodes,msh_elements,nprocs,launcher,partition_method,bind,ram_gb,elapsed_raw,case_dir,status,note,gcr_warning,bad_termination,true_residual,iterated_residual,max_gcr_iter,suspect,suspect_reason
dz_m1_000mm,dz,0.0,0.0,-0.001,1.625144,647095,4002565,20,mpirun,metiskway,core,,,/work/jmorera/Genes/GeneticLab/experiments/geo_sif_trials_20260501_192703/runs/B_pill_r5p2_fine/cases/dz_m1_000mm,OK,,0,,,,330,0,
dz_p0_000mm,dz,0.0,0.0,0.0,1.624359,646971,4001580,20,mpirun,metiskway,core,,,/work/jmorera/Genes/GeneticLab/experiments/geo_sif_trials_20260501_192703/runs/B_pill_r5p2_fine/cases/dz_p0_000mm,OK,,0,,,,360,0,
dz_p1_000mm,dz,0.0,0.0,0.001,1.621941,648625,4011606,20,mpirun,metiskway,core,,,/work/jmorera/Genes/GeneticLab/experiments/geo_sif_trials_20260501_192703/runs/B_pill_r5p2_fine/cases/dz_p1_000mm,OK,,0,,,,330,0,
